timestamp,subcarrier_index,magnitude
61.0433,32,0.0
61.0433,33,0.0
61.0433,34,0.0
61.0433,35,0.0
61.0433,36,0.0
61.0433,37,0.0
61.0433,38,12.1655
61.0433,39,12.3693
61.0433,40,13.3417
61.0433,41,13.9284
61.0433,42,13.9284
61.0433,43,15.6525
61.0433,44,15.6525
61.0433,45,16.6433
61.0433,46,16.6433
61.0433,47,17.2047
61.0433,48,19.4165
61.0433,49,19.4165
61.0433,50,18.6011
61.0433,51,18.6011
61.0433,52,20.0
61.0433,53,20.0
61.0433,54,20.0
61.0433,55,20.0
61.0433,56,21.6333
61.0433,57,21.9545
61.0433,58,22.4722
61.0433,59,23.7065
61.0433,60,22.4722
61.0433,61,25.0599
61.0433,62,25.9422
61.0433,63,25.9422
61.0469,0,99.2975
61.0469,1,5.0
61.0469,2,27.8927
61.0469,3,29.6142
61.0469,4,26.6833
61.0469,5,28.1603
61.0469,6,28.1603
61.0469,7,27.5136
61.0469,8,26.9258
61.0469,9,25.632
61.0469,10,26.4008
61.0469,11,26.8328
61.0469,12,26.8328
61.0469,13,26.4197
61.0469,14,27.2947
61.0469,15,26.4197
61.0469,16,28.178
61.0469,17,25.9422
61.0469,18,27.313
61.0469,19,26.8328
61.0469,20,25.0799
61.0469,21,25.0799
61.0469,22,23.4094
61.0469,23,22.4722
61.0469,24,22.8035
61.0469,25,23.7697
61.0469,26,21.2132
61.0469,27,0.0
61.0469,28,0.0
61.0469,29,0.0
61.0469,30,0.0
61.0469,31,0.0
61.0469,32,0.0
61.0469,33,0.0
61.0469,34,0.0
61.0469,35,0.0
61.0469,36,0.0
61.0469,37,0.0
61.0469,38,13.4536
61.0469,39,13.6015
61.0469,40,14.4222
61.0469,41,15.2643
61.0469,42,15.6525
61.0469,43,17.4642
61.0469,44,18.0278
61.0469,45,19.6469
61.0469,46,19.6469
61.0469,47,20.3961
61.0469,48,21.3776
61.0469,49,21.2132
61.0469,50,21.2132
61.0469,51,23.1948
61.0469,52,23.1948
61.0469,53,22.2036
61.0469,54,23.1948
61.0469,55,23.3452
61.0469,56,25.318
61.0469,57,24.5153
